Event Category,Gender,medal_type,country_name,country_code,athlete_full_name,Scored Unit,Scoring Type,game_season,game_year,game_location,game_name,Age,Year of Birth
Men's Individual,Man,SILVER,Egypt,EG,Ahmed ELGENDY,1477,POINTS,Summer,2020,Japan,Tokyo 2020,NULL,NULL
Men's Greco-Roman 77kg,Man,SILVER,Kyrgyzstan,KG,Akzhol MAKHMUDOV,NULL,NULL,Summer,2020,Japan,Tokyo 2020,25,1999
Men's Combined,Man,GOLD,Spain,ES,Alberto GINES LOPEZ,28,POINTS,Summer,2020,Japan,Tokyo 2020,22,2002
Men's 15km + 15km Skiathlon,Man,BRONZE,ROC,ROC,Alexander BOLSHUNOV,16:10.2,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 15km + 15km Skiathlon,Man,GOLD,ROC,ROC,Alexander BOLSHUNOV,16:10.2,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 15km + 15km Skiathlon,Man,GOLD,ROC,ROC,Alexander BOLSHUNOV,16:10.2,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 15km + 15km Skiathlon,Man,SILVER,ROC,ROC,Alexander BOLSHUNOV,16:10.2,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 50km Mass Start Free,Man,BRONZE,ROC,ROC,Alexander BOLSHUNOV,11:33.3,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 50km Mass Start Free,Man,GOLD,ROC,ROC,Alexander BOLSHUNOV,11:33.3,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 50km Mass Start Free,Man,GOLD,ROC,ROC,Alexander BOLSHUNOV,11:33.3,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 50km Mass Start Free,Man,SILVER,ROC,ROC,Alexander BOLSHUNOV,11:33.3,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's Sprint Free,Man,BRONZE,ROC,ROC,Alexander BOLSHUNOV,NULL,NULL,Winter,2022,China,Beijing 2022,28,1996
Men's Heavy (81-91kg),Man,BRONZE,Brazil,BR,Abner TEIXEIRA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Men's 100m Breaststroke,Man,GOLD,Great Britain,GB,Adam PEATY,57056,TIME,Summer,2020,Japan,Tokyo 2020,30,1994
Men's 100m Breaststroke,Man,GOLD,Great Britain,GB,Adam PEATY,57056,TIME,Summer,2020,Japan,Tokyo 2020,30,1994
Women's Freeski Slopestyle,Woman,GOLD,People's Republic of China,CN,Ailing Eileen GU,79.38,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Slopestyle,Woman,GOLD,People's Republic of China,CN,Ailing Eileen GU,79.38,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Slopestyle,Woman,SILVER,People's Republic of China,CN,Ailing Eileen GU,79.38,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Big Air,Woman,GOLD,People's Republic of China,CN,Ailing Eileen GU,72.25,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Big Air,Woman,GOLD,People's Republic of China,CN,Ailing Eileen GU,72.25,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Big Air,Woman,SILVER,People's Republic of China,CN,Ailing Eileen GU,72.25,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Halfpipe,Woman,GOLD,People's Republic of China,CN,Ailing Eileen GU,95.5,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Halfpipe,Woman,GOLD,People's Republic of China,CN,Ailing Eileen GU,95.5,POINTS,Winter,2022,China,Beijing 2022,21,2003
Men's Marathon,Man,SILVER,Netherlands,NL,Abdi NAGEEYE,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Women's Freestyle 68kg,Woman,BRONZE,Poland,PL,Agnieszka Jadwiga WIESZCZEK-KORDUS,NULL,NULL,Summer,2020,Japan,Tokyo 2020,41,1983
Men's 400m Freestyle,Man,GOLD,Tunisia,TN,Ahmed HAFNAOUI,03:46.3,TIME,Summer,2020,Japan,Tokyo 2020,NULL,NULL
Women +78 kg,Woman,GOLD,Japan,JP,Akira SONE,NULL,NULL,Summer,2020,Japan,Tokyo 2020,24,2000
Trap Men,Not Stated,GOLD,Spain,ES,Alberto FERNANDEZ,NULL,NULL,Summer,2020,Japan,Tokyo 2020,41,1983
Men's Super-G,Man,BRONZE,Norway,NO,Aleksander Aamodt KILDE,01:20.3,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's Super-G,Man,SILVER,Norway,NO,Aleksander Aamodt KILDE,01:20.3,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's Alpine Combined,Man,BRONZE,Norway,NO,Aleksander Aamodt KILDE,02:32.0,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's Alpine Combined,Man,SILVER,Norway,NO,Aleksander Aamodt KILDE,02:32.0,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's Downhill,Man,BRONZE,Norway,NO,Aleksander Aamodt KILDE,01:43.2,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's Downhill,Man,SILVER,Norway,NO,Aleksander Aamodt KILDE,01:43.2,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's Freeski Slopestyle,Man,GOLD,United States of America,US,Alexander HALL,79.13,POINTS,Winter,2022,China,Beijing 2022,26,1998
Men's Freeski Big Air,Man,GOLD,United States of America,US,Alexander HALL,89.5,POINTS,Winter,2022,China,Beijing 2022,26,1998
Men's Individual,Man,BRONZE,Hungary,HU,Adam MAROSI,1461,POINTS,Summer,2020,Japan,Tokyo 2020,40,1984
Women -49kg,Woman,SILVER,Spain,ES,Adriana CEREZO IGLESIAS,NULL,NULL,Summer,2020,Japan,Tokyo 2020,21,2003
Individual Gundersen Large Hill/10km,Not Stated,BRONZE,Japan,JP,Akito WATABE,27:14.1,TIME,Winter,2022,China,Beijing 2022,36,1988
Individual Gundersen Large Hill/10km,Not Stated,SILVER,Japan,JP,Akito WATABE,27:14.1,TIME,Winter,2022,China,Beijing 2022,36,1988
Individual Gundersen Large Hill/10km,Not Stated,SILVER,Japan,JP,Akito WATABE,27:14.1,TIME,Winter,2022,China,Beijing 2022,36,1988
Individual Gundersen Normal Hill/10km,Not Stated,BRONZE,Japan,JP,Akito WATABE,25:40.0,TIME,Winter,2022,China,Beijing 2022,36,1988
Individual Gundersen Normal Hill/10km,Not Stated,SILVER,Japan,JP,Akito WATABE,25:40.0,TIME,Winter,2022,China,Beijing 2022,36,1988
Individual Gundersen Normal Hill/10km,Not Stated,SILVER,Japan,JP,Akito WATABE,25:40.0,TIME,Winter,2022,China,Beijing 2022,36,1988
Men's Freestyle 97kg,Man,BRONZE,Romania,RO,Albert SARITOV,NULL,NULL,Summer,2020,Japan,Tokyo 2020,39,1985
Skeet women,Woman,GOLD,United States of America,US,Amber ENGLISH,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Women,Woman,BRONZE,Japan,JP,Amuro TSUZUKI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,23,2001
Men's Welter (63-69kg),Man,BRONZE,ROC,ROC,Andrei ZAMKOVOI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,37,1987
Skeet Men,Not Stated,BRONZE,Kuwait,KW,Abdullah ALRASHIDI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,61,1963
Skeet Men,Not Stated,BRONZE,Kuwait,KW,Abdullah ALRASHIDI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,61,1963
Skeet Men,Not Stated,BRONZE,Kuwait,KW,Abdullah ALRASHIDI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,NULL,NULL
Skeet Men,Not Stated,BRONZE,Kuwait,KW,Abdullah ALRASHIDI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,NULL,NULL
Men's Freestyle 97kg,Man,BRONZE,Italy,IT,Abraham de Jesus CONYEDO RUANO,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Women's Individual,Woman,BRONZE,Mexico,MX,Alejandra VALENCIA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,30,1994
Men's 10m Platform,Man,BRONZE,ROC,ROC,Aleksandr BONDAR,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Individual Gundersen Normal Hill/10km,Not Stated,BRONZE,Italy,IT,Alessandro PITTIN,29:33.3,TIME,Winter,2022,China,Beijing 2022,34,1990
Individual Gundersen Large Hill/10km,Not Stated,BRONZE,Italy,IT,Alessandro PITTIN,31:32.2,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 200m Individual Medley,Woman,SILVER,United States of America,US,Alex WALSH,02:10.0,TIME,Summer,2020,Japan,Tokyo 2020,23,2001
Women +67kg,Woman,BRONZE,France,FR,Althea LAURIN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,23,2001
Women's 10km,Woman,GOLD,Brazil,BR,Ana Marcela CUNHA,59:31.2,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Women's 3m Springboard,Woman,BRONZE,Australia,AU,Anabelle SMITH,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Women's Freestyle 76kg,Woman,SILVER,United States of America,US,Adeline Maria GRAY,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Men's Foil Individual,Man,SILVER,Egypt,EG,Alaaeldin ABOUELKASSEM,NULL,NULL,Summer,2020,Japan,Tokyo 2020,34,1990
Men's 400m Hurdles,Man,BRONZE,Brazil,BR,Alison DOS SANTOS,48042,TIME,Summer,2020,Japan,Tokyo 2020,24,2000
Women's 400m,Woman,SILVER,United States of America,US,Allyson FELIX,50084,TIME,Summer,2020,Japan,Tokyo 2020,39,1985
Women's 400m,Woman,BRONZE,United States of America,US,Allyson FELIX,50084,TIME,Summer,2020,Japan,Tokyo 2020,39,1985
Women's 400m,Woman,SILVER,United States of America,US,Allyson FELIX,50084,TIME,Summer,2020,Japan,Tokyo 2020,39,1985
Women's 400m,Woman,SILVER,United States of America,US,Allyson FELIX,50084,TIME,Summer,2020,Japan,Tokyo 2020,39,1985
Women's 400m,Woman,GOLD,United States of America,US,Allyson FELIX,50084,TIME,Summer,2020,Japan,Tokyo 2020,39,1985
Women's Ã‰pÃ©e Individual,Woman,SILVER,Romania,RO,Ana Maria POPESCU,NULL,NULL,Summer,2020,Japan,Tokyo 2020,40,1984
Women's Ã‰pÃ©e Individual,Woman,SILVER,Romania,RO,Ana Maria POPESCU,NULL,NULL,Summer,2020,Japan,Tokyo 2020,40,1984
Women's 7.5km Sprint,Woman,BRONZE,France,FR,Anais BESCOND,21:53.1,TIME,Winter,2022,China,Beijing 2022,37,1987
Women's 10km Pursuit,Woman,BRONZE,France,FR,Anais BESCOND,38:46.3,TIME,Winter,2022,China,Beijing 2022,37,1987
Men -100 kg,Man,GOLD,Japan,JP,Aaron WOLF,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Women's Individual,Woman,SILVER,Mexico,MX,Aida ROMAN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,36,1988
Men's Ski Cross,Man,SILVER,Switzerland,CH,Alex FIVA,NULL,NULL,Winter,2022,China,Beijing 2022,38,1986
Women's Freestyle 68kg,Woman,BRONZE,Ukraine,UA,Alla CHERKASOVA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Men's Freestyle 125kg,Man,BRONZE,Islamic Republic of Iran,IR,Amir Hossein ZARE,NULL,NULL,Summer,2020,Japan,Tokyo 2020,NULL,NULL
Women's 12.5km Mass Start,Woman,SILVER,France,FR,Anais CHEVALIER,43:30.3,TIME,Winter,2022,China,Beijing 2022,31,1993
Women's 7.5km Sprint,Woman,SILVER,France,FR,Anais CHEVALIER,24:02.0,TIME,Winter,2022,China,Beijing 2022,31,1993
Women's 15km Individual,Woman,SILVER,France,FR,Anais CHEVALIER,44:22.1,TIME,Winter,2022,China,Beijing 2022,31,1993
Finn Men,Not Stated,SILVER,Norway,NO,Anders PEDERSEN,82,POINTS,Summer,2020,Japan,Tokyo 2020,32,1992
Men's Foil Individual,Man,BRONZE,Italy,IT,Andrea CASSARA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,40,1984
Men's 400m,Man,SILVER,Colombia,CO,Anthony ZAMBRANO,44087,TIME,Summer,2020,Japan,Tokyo 2020,26,1998
Men -81 kg,Man,BRONZE,Canada,CA,Antoine VALOIS-FORTIER,NULL,NULL,Summer,2020,Japan,Tokyo 2020,34,1990
Women's 20km Race Walk,Woman,GOLD,Italy,IT,Antonella PALMISANO,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Men's Sprint Free,Man,GOLD,ROC,ROC,Alexander BOLSHUNOV,NULL,NULL,Winter,2022,China,Beijing 2022,28,1996
Men's Sprint Free,Man,GOLD,ROC,ROC,Alexander BOLSHUNOV,NULL,NULL,Winter,2022,China,Beijing 2022,28,1996
Men's Sprint Free,Man,SILVER,ROC,ROC,Alexander BOLSHUNOV,NULL,NULL,Winter,2022,China,Beijing 2022,28,1996
Men's 15km Classic,Man,BRONZE,ROC,ROC,Alexander BOLSHUNOV,38:18.0,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 15km Classic,Man,GOLD,ROC,ROC,Alexander BOLSHUNOV,38:18.0,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 15km Classic,Man,GOLD,ROC,ROC,Alexander BOLSHUNOV,38:18.0,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 15km Classic,Man,SILVER,ROC,ROC,Alexander BOLSHUNOV,38:18.0,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's Foil Individual,Man,BRONZE,Czech Republic,CZ,Alexander CHOUPENITCH,NULL,NULL,Summer,2020,Japan,Tokyo 2020,30,1994
Women's Omnium,Woman,SILVER,Denmark,DK,Amalie DIDERIKSEN,103,POINTS,Summer,2020,Japan,Tokyo 2020,28,1996
Women's Singles,Woman,SILVER,Germany,DE,Anna BERREITER,03:54.0,TIME,Winter,2022,China,Beijing 2022,25,1999
25m Pistol Women,Woman,BRONZE,Greece,GR,Anna KORAKAKI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
25m Pistol Women,Woman,GOLD,Greece,GR,Anna KORAKAKI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
10m Air Pistol women,Woman,BRONZE,Greece,GR,Anna KORAKAKI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Women's Freeski Halfpipe,Woman,SILVER,People's Republic of China,CN,Ailing Eileen GU,95.5,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freestyle 62kg,Woman,SILVER,Kyrgyzstan,KG,Aisuluu TYNYBEKOVA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Men's 109kg,Man,GOLD,Uzbekistan,UZ,Akbar DJURAEV,430,WEIGHT,Summer,2020,Japan,Tokyo 2020,25,1999
Men's Feather (52-57kg),Man,GOLD,ROC,ROC,Albert BATYRGAZIEV,NULL,NULL,Summer,2020,Japan,Tokyo 2020,26,1998
Men's Freeski Halfpipe,Man,SILVER,United States of America,US,Alex FERREIRA,84.25,POINTS,Winter,2022,China,Beijing 2022,30,1994
Men's Freeski Halfpipe,Man,BRONZE,United States of America,US,Alex FERREIRA,84.25,POINTS,Winter,2022,China,Beijing 2022,30,1994
Men's Individual,Man,SILVER,Great Britain,GB,Alex YEE,NULL,NULL,Summer,2020,Japan,Tokyo 2020,26,1998
Women Single Skating,Woman,SILVER,ROC,ROC,Alexandra Trusova,251.73,POINTS,Winter,2022,China,Beijing 2022,20,2004
Women's Freestyle 76kg,Woman,GOLD,Germany,DE,Aline FOCKEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Women -52 kg,Woman,SILVER,France,FR,Amandine BUCHARD,NULL,NULL,Summer,2020,Japan,Tokyo 2020,29,1995
Women's Triple Jump,Woman,BRONZE,Spain,ES,Ana PELETEIRO,14.62,DISTANCE,Summer,2020,Japan,Tokyo 2020,29,1995
Women's Canoe Single 200m,Woman,SILVER,Ukraine,UA,Anastasiia CHETVERIKOVA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,26,1998
Men's 200m,Man,SILVER,Canada,CA,Andre DE GRASSE,20056,TIME,Summer,2020,Japan,Tokyo 2020,30,1994
10m Air Pistol women,Woman,GOLD,Greece,GR,Anna KORAKAKI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Women's Road Race,Woman,SILVER,Netherlands,NL,Annemiek VAN VLEUTEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,42,1982
Women's Road Race,Woman,GOLD,Netherlands,NL,Annemiek VAN VLEUTEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,42,1982
Women's Individual Time Trial,Woman,SILVER,Netherlands,NL,Annemiek VAN VLEUTEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,42,1982
Women's Individual Time Trial,Woman,GOLD,Netherlands,NL,Annemiek VAN VLEUTEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,42,1982
Women's Omnium,Woman,BRONZE,Australia,AU,Annette EDMONDSON,61,POINTS,Summer,2020,Japan,Tokyo 2020,33,1991
Women's 1500m,Woman,BRONZE,Netherlands,NL,Antoinette DE JONG,01:55.1,TIME,Winter,2022,China,Beijing 2022,29,1995
Women's 1500m,Woman,BRONZE,Netherlands,NL,Antoinette DE JONG,01:55.1,TIME,Winter,2022,China,Beijing 2022,29,1995
Women's 3000m,Woman,BRONZE,Netherlands,NL,Antoinette DE JONG,04:02.3,TIME,Winter,2022,China,Beijing 2022,29,1995
Women's 3000m,Woman,BRONZE,Netherlands,NL,Antoinette DE JONG,04:02.3,TIME,Winter,2022,China,Beijing 2022,29,1995
Women's 1000m,Woman,BRONZE,Netherlands,NL,Antoinette DE JONG,01:15.0,TIME,Winter,2022,China,Beijing 2022,29,1995
Women's 1000m,Woman,BRONZE,Netherlands,NL,Antoinette DE JONG,01:15.0,TIME,Winter,2022,China,Beijing 2022,29,1995
Eventing Individual,Not Stated,SILVER,Australia,AU,Andrew HOY,29.6,POINTS,Summer,2020,Japan,Tokyo 2020,65,1959
Eventing Individual,Not Stated,BRONZE,Australia,AU,Andrew HOY,29.6,POINTS,Summer,2020,Japan,Tokyo 2020,65,1959
Women Single Skating,Woman,GOLD,ROC,ROC,Anna SHCHERBAKOVA,255.95,POINTS,Winter,2022,China,Beijing 2022,20,2004
Women -78 kg,Woman,BRONZE,Germany,DE,Anna-Maria WAGNER,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Women's 500m,Woman,BRONZE,Italy,IT,Arianna FONTANA,42940,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 500m,Woman,BRONZE,Italy,IT,Arianna FONTANA,42940,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 500m,Woman,SILVER,Italy,IT,Arianna FONTANA,42940,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 500m,Woman,SILVER,Italy,IT,Arianna FONTANA,42940,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 500m,Woman,GOLD,Italy,IT,Arianna FONTANA,42940,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 500m,Woman,BRONZE,Italy,IT,Arianna FONTANA,42940,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 500m,Woman,GOLD,Italy,IT,Arianna FONTANA,42940,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1000m,Woman,BRONZE,Italy,IT,Arianna FONTANA,01:30.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1000m,Woman,BRONZE,Italy,IT,Arianna FONTANA,01:30.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1000m,Woman,SILVER,Italy,IT,Arianna FONTANA,01:30.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1000m,Woman,SILVER,Italy,IT,Arianna FONTANA,01:30.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1000m,Woman,GOLD,Italy,IT,Arianna FONTANA,01:30.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1000m,Woman,BRONZE,Italy,IT,Arianna FONTANA,01:30.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1000m,Woman,GOLD,Italy,IT,Arianna FONTANA,01:30.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1500m,Woman,BRONZE,Italy,IT,Arianna FONTANA,02:33.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1500m,Woman,BRONZE,Italy,IT,Arianna FONTANA,02:33.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1500m,Woman,SILVER,Italy,IT,Arianna FONTANA,02:33.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1500m,Woman,SILVER,Italy,IT,Arianna FONTANA,02:33.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1500m,Woman,GOLD,Italy,IT,Arianna FONTANA,02:33.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1500m,Woman,BRONZE,Italy,IT,Arianna FONTANA,02:33.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 1500m,Woman,GOLD,Italy,IT,Arianna FONTANA,02:33.0,TIME,Winter,2022,China,Beijing 2022,34,1990
Men's Light Heavy (75-81kg),Man,GOLD,Cuba,CU,Arlen LOPEZ,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Women's Keirin,Woman,BRONZE,ROC,ROC,Anastasiia VOINOVA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Women's Keirin,Woman,SILVER,ROC,ROC,Anastasiia VOINOVA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Women's Sprint,Woman,BRONZE,ROC,ROC,Anastasiia VOINOVA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Women's Sprint,Woman,SILVER,ROC,ROC,Anastasiia VOINOVA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Women's Hammer Throw,Woman,GOLD,Poland,PL,Anita WLODARCZYK,76.99,DISTANCE,Summer,2020,Japan,Tokyo 2020,39,1985
Women's Hammer Throw,Woman,GOLD,Poland,PL,Anita WLODARCZYK,76.99,DISTANCE,Summer,2020,Japan,Tokyo 2020,39,1985
Women's Hammer Throw,Woman,GOLD,Poland,PL,Anita WLODARCZYK,76.99,DISTANCE,Summer,2020,Japan,Tokyo 2020,39,1985
Laser Radial Women,Woman,SILVER,Ireland,IE,Annalise MURPHY,160,POINTS,Summer,2020,Japan,Tokyo 2020,34,1990
Men's 10km Sprint,Man,SILVER,Belarus,BY,Anton SMOLSKI,25:13.1,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 15km Mass Start,Man,SILVER,Belarus,BY,Anton SMOLSKI,41:22.3,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 12.5km Pursuit,Man,SILVER,Belarus,BY,Anton SMOLSKI,42:48.2,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 20km Individual,Man,SILVER,Belarus,BY,Anton SMOLSKI,49:02.1,TIME,Winter,2022,China,Beijing 2022,28,1996
Women's Pole Vault,Woman,SILVER,ROC,ROC,Anzhelika SIDOROVA,4.55,DISTANCE,Summer,2020,Japan,Tokyo 2020,33,1991
Women's 12.5km Mass Start,Woman,BRONZE,France,FR,Anais BESCOND,46:02.2,TIME,Winter,2022,China,Beijing 2022,37,1987
Women's 15km Individual,Woman,BRONZE,France,FR,Anais BESCOND,48:26.0,TIME,Winter,2022,China,Beijing 2022,37,1987
Women's Moguls,Woman,BRONZE,ROC,ROC,Anastasiia SMIRNOVA,73.01,POINTS,Winter,2022,China,Beijing 2022,22,2002
Men's Singles,Man,GOLD,ROC,ROC,Andrey Rublev,NULL,NULL,Summer,2020,Japan,Tokyo 2020,27,1997
Men's Light (57-63kg),Man,GOLD,Cuba,CU,Andy CRUZ,NULL,NULL,Summer,2020,Japan,Tokyo 2020,29,1995
Women's 500m,Woman,BRONZE,ROC,ROC,Angelina GOLIKOVA,37210,TIME,Winter,2022,China,Beijing 2022,33,1991
Women's 500m,Woman,BRONZE,ROC,ROC,Angelina GOLIKOVA,37210,TIME,Winter,2022,China,Beijing 2022,33,1991
Women's 1000m,Woman,BRONZE,ROC,ROC,Angelina GOLIKOVA,01:15.2,TIME,Winter,2022,China,Beijing 2022,33,1991
Women's 1000m,Woman,BRONZE,ROC,ROC,Angelina GOLIKOVA,01:15.2,TIME,Winter,2022,China,Beijing 2022,33,1991
Women's All-Around,Woman,BRONZE,ROC,ROC,Angelina MELNIKOVA,57.199,POINTS,Summer,2020,Japan,Tokyo 2020,24,2000
Women's All-Around,Woman,BRONZE,ROC,ROC,Angelina MELNIKOVA,57.199,POINTS,Summer,2020,Japan,Tokyo 2020,24,2000
Women's Floor Exercise,Woman,BRONZE,ROC,ROC,Angelina MELNIKOVA,14,POINTS,Summer,2020,Japan,Tokyo 2020,24,2000
Women's Floor Exercise,Woman,BRONZE,ROC,ROC,Angelina MELNIKOVA,14,POINTS,Summer,2020,Japan,Tokyo 2020,24,2000
Women's 76kg,Woman,BRONZE,Mexico,MX,Aremi FUENTES ZAVALA,245,WEIGHT,Summer,2020,Japan,Tokyo 2020,31,1993
Women's 800m Freestyle,Woman,SILVER,Australia,AU,Ariarne Titmus,08:19.0,TIME,Summer,2020,Japan,Tokyo 2020,24,2000
Women's 800m Freestyle,Woman,GOLD,Australia,AU,Ariarne Titmus,08:19.0,TIME,Summer,2020,Japan,Tokyo 2020,24,2000
Women's 800m Freestyle,Woman,GOLD,Australia,AU,Ariarne Titmus,08:19.0,TIME,Summer,2020,Japan,Tokyo 2020,24,2000
Women's 400m Freestyle,Woman,SILVER,Australia,AU,Ariarne Titmus,04:02.3,TIME,Summer,2020,Japan,Tokyo 2020,24,2000
Women's 400m Freestyle,Woman,GOLD,Australia,AU,Ariarne Titmus,04:02.3,TIME,Summer,2020,Japan,Tokyo 2020,24,2000
Women's 400m Freestyle,Woman,GOLD,Australia,AU,Ariarne Titmus,04:02.3,TIME,Summer,2020,Japan,Tokyo 2020,24,2000
Women's 200m Freestyle,Woman,SILVER,Australia,AU,Ariarne Titmus,01:56.1,TIME,Summer,2020,Japan,Tokyo 2020,24,2000
Women's 200m Freestyle,Woman,GOLD,Australia,AU,Ariarne Titmus,01:56.1,TIME,Summer,2020,Japan,Tokyo 2020,24,2000
Women's 200m Freestyle,Woman,GOLD,Australia,AU,Ariarne Titmus,01:56.1,TIME,Summer,2020,Japan,Tokyo 2020,24,2000
Men's Sabre Individual,Man,GOLD,Hungary,HU,Aron SZILAGYI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,34,1990
Men's Sabre Individual,Man,GOLD,Hungary,HU,Aron SZILAGYI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,34,1990
Men's Sabre Individual,Man,GOLD,Hungary,HU,Aron SZILAGYI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,34,1990
Men's +109kg,Man,SILVER,Islamic Republic of Iran,IR,Ali DAVOUDI,441,WEIGHT,Summer,2020,Japan,Tokyo 2020,25,1999
Women +78 kg,Woman,BRONZE,Slovenia,SI,Anamari VELENSEK,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
10m Air Rifle women,Woman,SILVER,ROC,ROC,Anastasiia GALASHINA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,27,1997
Women's Uneven Bars,Woman,SILVER,ROC,ROC,Anastasiia ILIANKOVA,14.833,POINTS,Summer,2020,Japan,Tokyo 2020,23,2001
Women -57kg,Woman,GOLD,United States of America,US,Anastasija ZOLOTIC,NULL,NULL,Summer,2020,Japan,Tokyo 2020,NULL,NULL
